course,DFWINC,daysregb4classstart,numaddlcourses,YearsofCollege,is_repeating_course,workingfulltime
MIS100,0,42,2,2,0,0
MIS100,0,54,2,2,0,0
MIS100,0,51,2,2,0,0
MIS100,0,54,2,2,0,0
MIS100,0,58,2,2,0,0
MIS100,0,0,3,1,0,0
MIS100,0,40,4,2,0,0
MIS100,0,38,4,2,0,0
MIS100,0,101,4,2,0,0
MIS100,0,40,4,2,0,0
MIS100,0,109,4,3,0,0
MIS100,0,32,5,1,0,0
MIS100,0,72,5,2,0,0
MIS100,0,115,5,2,0,0
MIS100,0,118,5,2,0,0
MIS100,0,81,5,2,0,0
MIS100,0,16,0,2,0,0
MIS100,0,56,3,2,0,0
MIS100,0,88,5,2,0,0
MIS100,0,41,6,2,0,0
MIS100,0,1,1,1,0,0
MIS100,0,1,1,2,0,0
MIS100,0,1,2,2,0,0
MIS100,0,0,4,2,0,0
MIS100,0,49,5,2,0,0
MIS100,0,76,5,2,0,0
MIS100,0,73,5,2,0,0
MIS100,0,73,5,2,0,0
MIS100,0,317,5,2,0,0
MIS100,0,6,5,2,0,0
MIS100,0,8,5,2,0,0
MIS100,0,99,7,2,0,0
MIS100,0,66,9,2,0,0
MIS100,0,38,10,2,0,0
MIS100,0,38,10,2,0,0
MIS100,0,113,11,3,0,0
MIS100,0,0,1,1,0,0
MIS100,0,37,4,2,0,0
MIS100,0,37,6,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,83,7,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,1,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,3,0,0
MIS100,0,57,2,1,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,3,0,0
MIS100,0,57,2,1,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,57,2,2,0,0
MIS100,0,13,2,2,0,0
MIS100,0,50,1,2,0,0
MIS100,0,7,1,2,0,0
MIS100,0,0,2,2,0,0
MIS100,0,13,2,2,0,0
MIS100,0,66,2,2,0,0
MIS100,0,10,3,2,0,0
MIS100,0,19,3,2,0,0
MIS100,0,10,3,2,0,0
MIS100,0,10,3,1,0,0
MIS100,0,63,3,2,0,0
MIS100,0,113,4,2,0,0
MIS100,0,68,5,2,0,0
MIS100,0,113,6,2,0,0
MIS100,0,21,10,1,0,0
MIS100,0,6,0,2,0,0
MIS100,0,7,2,2,0,0
MIS100,0,17,2,2,0,0
MIS100,0,1,2,2,0,0
MIS100,0,2,2,2,0,0
MIS100,0,11,2,2,0,0
MIS100,0,1,2,2,0,0
MIS100,0,1,2,2,0,0
MIS100,0,48,2,2,0,0
MIS100,0,15,2,2,0,0
MIS100,0,53,3,2,0,0
MIS100,0,53,3,2,0,0
MIS100,0,94,3,2,0,0
MIS100,0,64,3,1,0,0
MIS100,0,53,3,2,0,0
MIS100,0,53,3,1,0,0
MIS100,0,64,3,1,0,0
MIS100,0,53,3,2,0,0
MIS100,0,24,3,3,0,0
MIS100,0,24,4,2,0,0
MIS100,0,23,5,2,0,0
MIS100,0,53,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,79,5,2,0,0
MIS100,0,43,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,65,6,2,0,0
MIS100,0,65,6,2,0,0
MIS100,0,99,6,3,0,0
MIS100,0,25,7,2,0,0
MIS100,0,92,2,2,0,0
MIS100,0,91,2,2,0,0
MIS100,0,38,2,2,0,0
MIS100,0,6,2,2,0,0
MIS100,0,38,2,2,0,0
MIS100,0,13,2,2,0,0
MIS100,0,315,2,2,0,0
MIS100,0,8,2,2,0,0
MIS100,0,91,2,2,0,0
MIS100,0,3,2,2,0,0
MIS100,0,9,2,3,0,0
MIS100,0,19,1,2,0,0
MIS100,0,25,4,2,0,0
MIS100,0,108,4,2,0,0
MIS100,0,45,5,2,0,0
MIS100,0,64,5,2,0,0
MIS100,0,44,2,2,0,0
MIS100,0,26,2,2,0,0
MIS100,0,59,3,2,0,0
MIS100,0,28,3,2,0,0
MIS100,0,106,3,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,4,1,1,0,0
MIS100,0,3,1,1,0,0
MIS100,0,73,5,2,0,0
MIS100,0,44,5,2,0,0
MIS100,0,95,5,2,0,0
MIS100,0,94,5,2,0,0
MIS100,0,64,5,2,0,0
MIS100,0,64,5,2,0,0
MIS100,0,94,5,2,0,0
MIS100,0,57,6,2,0,0
MIS100,0,57,6,2,0,0
MIS100,0,87,10,2,0,0
MIS100,0,0,0,2,0,0
MIS100,0,0,0,2,0,0
MIS100,0,6,0,2,0,0
MIS100,0,0,0,2,0,0
MIS100,0,19,0,2,0,0
MIS100,0,4,0,2,0,0
MIS100,0,44,2,2,0,0
MIS100,0,66,3,2,0,0
MIS100,0,41,5,2,0,0
MIS100,0,104,5,2,0,0
MIS100,0,117,5,2,0,0
MIS100,0,34,5,2,0,0
MIS100,0,47,4,2,0,0
MIS100,0,104,5,2,0,0
MIS100,0,32,5,2,0,0
MIS100,0,29,6,2,0,0
MIS100,0,30,10,2,0,0
MIS100,0,123,4,2,0,0
MIS100,0,14,0,1,0,0
MIS100,0,0,0,1,0,0
MIS100,0,0,0,2,0,0
MIS100,0,79,3,2,0,0
MIS100,0,63,3,2,0,0
MIS100,0,68,3,2,0,0
MIS100,0,96,3,2,0,0
MIS100,0,46,3,2,0,0
MIS100,0,41,4,2,0,0
MIS100,0,52,5,2,0,0
MIS100,0,89,5,2,0,0
MIS100,0,65,5,2,0,0
MIS100,0,82,5,2,0,0
MIS100,0,42,5,2,0,0
MIS100,0,62,5,2,0,0
MIS100,0,28,5,2,0,0
MIS100,0,39,7,2,0,0
MIS100,0,39,7,2,0,0
MIS100,0,39,7,2,0,0
MIS100,0,5,2,1,0,0
MIS100,0,61,4,2,0,0
MIS100,0,8,5,3,0,0
MIS100,0,89,5,3,0,0
MIS100,0,57,5,2,0,0
MIS100,0,102,5,3,0,0
MIS100,0,108,6,2,0,0
MIS100,0,28,7,2,0,0
MIS100,0,29,8,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,44,4,2,0,0
MIS100,0,16,0,2,0,0
MIS100,0,73,0,2,0,0
MIS100,0,3,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,33,3,2,0,0
MIS100,0,33,3,2,0,0
MIS100,0,117,3,2,0,0
MIS100,0,34,6,3,0,0
MIS100,0,9,2,2,0,0
MIS100,0,8,2,2,0,0
MIS100,0,22,2,2,0,0
MIS100,0,22,2,2,0,0
MIS100,0,22,2,2,0,0
MIS100,0,36,2,2,0,0
MIS100,0,22,2,2,0,0
MIS100,0,18,2,2,0,0
MIS100,0,8,2,2,0,0
MIS100,0,1,2,3,0,0
MIS100,0,39,2,2,0,0
MIS100,0,14,2,2,0,0
MIS100,0,28,2,2,0,0
MIS100,0,55,3,2,0,0
MIS100,0,55,3,2,0,0
MIS100,0,25,5,2,0,0
MIS100,0,25,6,2,0,0
MIS100,0,43,7,2,0,0
MIS100,0,35,7,2,0,0
MIS100,0,30,0,2,0,0
MIS100,0,47,1,2,0,0
MIS100,0,40,1,2,0,0
MIS100,0,11,1,2,0,0
MIS100,0,39,1,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,12,1,2,0,0
MIS100,0,51,1,2,0,0
MIS100,0,67,2,2,0,0
MIS100,0,52,3,2,0,0
MIS100,0,25,3,2,0,0
MIS100,0,94,3,2,0,0
MIS100,0,33,3,2,0,0
MIS100,0,47,3,2,0,0
MIS100,0,43,4,2,0,0
MIS100,0,54,5,2,0,0
MIS100,0,32,5,2,0,0
MIS100,0,54,5,2,0,0
MIS100,0,75,5,2,0,0
MIS100,0,31,5,2,0,0
MIS100,0,61,6,3,0,0
MIS100,0,60,6,2,0,0
MIS100,0,115,6,2,0,0
MIS100,0,59,8,2,0,0
MIS100,0,0,5,2,0,0
MIS100,0,50,5,3,0,0
MIS100,0,47,1,2,0,0
MIS100,0,48,1,2,0,0
MIS100,0,73,3,3,0,0
MIS100,0,38,5,2,0,0
MIS100,0,34,0,2,0,0
MIS100,0,130,5,2,0,0
MIS100,0,45,5,2,0,0
MIS100,0,31,0,2,0,0
MIS100,0,59,1,2,0,0
MIS100,0,48,2,2,0,0
MIS100,0,96,2,2,0,0
MIS100,0,51,2,2,0,0
MIS100,0,96,2,2,0,0
MIS100,0,6,3,2,0,0
MIS100,0,27,3,2,0,0
MIS100,0,28,3,2,0,0
MIS100,0,30,3,2,0,0
MIS100,0,45,3,2,0,0
MIS100,0,52,3,2,0,0
MIS100,0,31,3,2,0,0
MIS100,0,31,3,2,0,0
MIS100,0,48,3,2,0,0
MIS100,0,35,3,2,0,0
MIS100,0,28,4,2,0,0
MIS100,0,77,4,2,0,0
MIS100,0,30,4,2,0,0
MIS100,0,35,5,2,0,0
MIS100,0,40,5,2,0,0
MIS100,0,38,5,2,0,0
MIS100,0,76,5,2,0,0
MIS100,0,70,1,2,0,0
MIS100,0,70,1,2,0,0
MIS100,0,68,2,2,0,0
MIS100,0,32,4,2,0,0
MIS100,0,29,4,2,0,0
MIS100,0,47,4,2,0,0
MIS100,0,50,5,2,0,0
MIS100,0,36,5,2,0,0
MIS100,0,49,5,2,0,0
MIS100,0,110,8,2,0,0
MIS100,0,8,0,2,0,0
MIS100,0,30,4,2,0,0
MIS100,0,71,4,2,0,0
MIS100,0,37,4,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,37,4,2,0,0
MIS100,0,97,4,2,0,0
MIS100,0,102,5,2,0,0
MIS100,0,34,4,2,0,0
MIS100,0,37,1,1,0,0
MIS100,0,17,2,2,0,0
MIS100,0,3,3,3,0,0
MIS100,0,52,3,2,0,0
MIS100,0,20,3,2,0,0
MIS100,0,77,7,2,0,0
MIS100,0,75,7,2,0,0
MIS100,0,75,7,2,0,0
MIS100,0,42,0,1,0,0
MIS100,0,46,0,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,16,2,1,0,0
MIS100,0,4,2,2,0,0
MIS100,0,4,2,2,0,0
MIS100,0,32,2,2,0,0
MIS100,0,0,2,2,0,0
MIS100,0,286,2,1,0,0
MIS100,0,72,2,2,0,0
MIS100,0,58,3,1,0,0
MIS100,0,80,4,2,0,0
MIS100,0,113,7,2,0,0
MIS100,0,129,1,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,3,5,2,0,0
MIS100,0,79,5,3,0,0
MIS100,0,66,6,2,0,0
MIS100,0,11,10,1,0,0
MIS100,0,115,5,3,0,0
MIS100,0,95,4,2,0,0
MIS100,0,67,4,2,0,0
MIS100,0,60,5,2,0,0
MIS100,0,34,5,2,0,0
MIS100,0,78,5,2,0,0
MIS100,0,93,5,2,0,0
MIS100,0,21,0,2,0,0
MIS100,0,0,0,2,0,0
MIS100,0,83,5,2,0,0
MIS100,0,460,5,1,0,0
MIS100,0,94,0,2,0,0
MIS100,0,1,0,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,13,4,2,0,0
MIS100,0,13,4,2,0,0
MIS100,0,14,5,2,0,0
MIS100,0,140,5,2,0,0
MIS100,0,6,5,2,0,0
MIS100,0,140,5,2,0,0
MIS100,0,81,8,2,0,0
MIS100,0,1,0,3,0,0
MIS100,0,65,0,2,0,0
MIS100,0,2,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,44,4,2,0,0
MIS100,0,139,4,2,0,0
MIS100,0,139,4,3,0,0
MIS100,0,84,5,2,0,0
MIS100,0,2,1,2,0,0
MIS100,0,129,3,2,0,0
MIS100,0,9,3,2,0,0
MIS100,0,52,3,2,0,0
MIS100,0,65,3,2,0,0
MIS100,0,7,3,2,0,0
MIS100,0,3,4,2,0,0
MIS100,0,87,6,2,0,0
MIS100,0,51,6,2,0,0
MIS100,0,136,8,3,0,0
MIS100,0,4,0,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,4,2,2,0,0
MIS100,0,6,2,2,0,0
MIS100,0,4,2,2,0,0
MIS100,0,52,2,2,0,0
MIS100,0,98,2,2,0,0
MIS100,0,83,2,2,0,0
MIS100,0,16,3,2,0,0
MIS100,0,116,5,2,0,0
MIS100,0,51,5,2,0,0
MIS100,0,65,7,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,5,1,2,0,0
MIS100,0,98,1,2,0,0
MIS100,0,4,1,2,0,0
MIS100,0,5,1,2,0,0
MIS100,0,3,2,2,0,0
